iea_product;iea_flows;pfu
HARDCOAL;AGRICULT;Coal Products
BROWN;AGRICULT;Coal Products
ANTCOAL;AGRICULT;Coal Products
COKCOAL;AGRICULT;Coal Products
BITCOAL;AGRICULT;Coal Products
SUBCOAL;AGRICULT;Coal Products
LIGNITE;AGRICULT;Coal Products
PATFUEL;AGRICULT;Coal Products
OVENCOKE;AGRICULT;Coal Products
GASCOKE;AGRICULT;Coal Products
COALTAR;AGRICULT;Coal Products
BKB;AGRICULT;Coal Products
GASWKSGS;AGRICULT;Coal Products
COKEOVGS;AGRICULT;Coal Products
BLFURGS;AGRICULT;Coal Products
OGASES;AGRICULT;Coal Products
PEAT;AGRICULT;Coal Products
PEATPROD;AGRICULT;Coal Products
MANGAS;AGRICULT;Coal Products
